Product_Name; Bounty Twin Pack (45g)

Product_Type; Food, Drinks & Beverages

Specific_Product_Type; Candy

Ingredients; Sugar, Desiccated Coconut, Glucose Syrup (Sources include Wheat), Milk Solids, Cocoa Butter, Cocoa Mass, Invert Sugar, Vegetable Fat, Emulsifiers (471, Soy Lecithin), Humectant (Glycerol), Salt, Natural Flavour (Vanilla Extract), Peanuts.

Nutritional_Value; Protein: 0.7 g, Total Fat: 5.8 g, Saturated Fat: 4.5 g, Trans Fat: <0.1 g, Total Carbonhydradtes: 13.0 g, Sugars: 10.3 g, Sodium 21 mg

Energy; 109cal (456kJ) / per 22.5 g serve

Date_Inserted; 01/10/17

Distributed_Country; Australia

Family_Company; Mars

Source; Website: http://www.marschocolate.com.au/products/bounty/bounty-twin-pack/
