Product_Name; Coca-Cola Classic

Product_Type; Food, Drinks & Beverages

Specific_Product_Type; Beverage, Soda

Ingredients; Carbonated Water, Sugar, Colour (Caramel E150d), Phosphoric Acid, Natural Flavourings Including Caffeine.

Nutritional_Value; Fat (of which saturates) 0 g / 100 ml , Carbohydrate (of which sugars) 10.6 g / 100 ml , Protein 0 g / 100 ml , Salt 0 g / 100 ml 

Energy; 42 kcal (180 kJ) / 100 ml

Date_Inserted; 2/10/17  

Distributed_Country; U.S.A.

Family_Company; The Coca-Cola Company

Source; Website: http://www.coca-cola.co.uk/drinks/coca-cola/coca-cola
