Product_Name; Coca-Cola Zero Sugar

Product_Type; Food, Drinks & Beverages

Specific_Product_Type; Sugar free soda

Ingredients; Water, Colour (Caramel E150d), Phosphoric Acid, Sweeteners (Aspartame, Acesulfame K), Natural Flavourings Including Caffeine, Acidity Regulator (Sodium Citrate). Contains a Source of Phenylalanine

Nutritional_Value; Fat (of which saturates) 0 g / 100 ml , Carbohydrate (of which saturates) 0 g / 100 ml , protein 0 g / 100 ml , salt 0.02 gm / 100 ml 

Energy; 0.3 kcal (1.4 kJ) / 100 ml

Date_Inserted; 1/10/17 ## put the date you made this file 

Distributed_Country; U.K.

Family_Company; Coca-Cola

Source; Website: http://www.coca-cola.co.uk/drinks/coca-cola-zero/coke-zero
