Product_Name; Diet Coke

Product_Type; Food, Drinks & Beverages

Specific_Product_Type; Beverage, soda

Ingredients; Carbonated Water, Colour (Caramel E150d), Sweeteners (Aspartame, Acesulfame K), Natural Flavourings Including Caffeine, Phosphoric Acid, Citric Acid. Contains a Source of Phenylalanine

Nutritional_Value; Fat (of which saturates) 0 g / 100 ml, Carbohydrate (of which sugars) 0 g / 100 ml, Protein 0 g, Salt 0 g / 100 ml

Energy; 0.4 kcal (1.6 kJ) / 100 ml

Date_Inserted; 10/1/17

Distributed_Country; U.K.

Family_Company; The Coca-Cola Company

Source; Website: http://www.coca-cola.co.uk/drinks/diet-coke/diet-coke
