Product_Name; Dove Cool Moisture Shampoo

Product_Type; Hygiene, Hair Care

Specific_Product_Type; Shampoo

Ingredients; Water (Aqua), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Fragrance (Parfum), Ppg-9, Polyquaternium-10, Tetrasodium Edta, Dmdm Hydantoin, Citric Acid, Methylchloroisothiazolinone, Methylisothiazolinone, Yellow 10 (Ci 47005), Green 3 (Ci 42053)

Nutritional_Value; None

Energy; None

Date_Inserted; 29/09/17 

Distributed_Country; U.K.

Family_Company; Unilever

Source; Website: https://www.dove.com/us/en/hair-care/shampoo/cool-moisture-shampoo.html
