Product_Name; M&M'S Milk Chocolates 49g

Product_Type; Food, Drinks & Beverages

Specific_Product_Type; Chocolate, Candy

Ingredients; Milk Chocolate 68% (Sugar, Milk Solids, Cocoa Mass, Cocoa Butter, Vegetable Fat, Emulsifier (Soy Lecithin), Salt, Flavour), Sugar, Starch (Sources include Wheat), Glucose Syrup (Sources Include Wheat), Vegetable Gum (414), Colours (171, 129, 133, 110, 102), Thickener (Dextrin), Glazing Agent (903).

Nutritional_Value; Protein: 2.3 g, Total Fat: 10.6 g, Saturated Fat: 6.7 g, Trans Fat: 0.1 g, Total Carbohydrates: 34.9 g, Sugars: 32.7 g, Sodium: 31 mg / per 49 g serve

Energy; 249cal (1040kJ) / per 49 g serve

Date_Inserted; 06/10/17 

Distributed_Country; Australia

Family_Company; Mars, Incorporated

Source; Website: http://www.marschocolate.com.au/products/mms/mm%E2%80%99s-milk-chocolates-49g/
