Product_Name; Maltesers 40g

Product_Type; Food, Drinks & Beverages

Specific_Product_Type; Chocolate, Candy

Ingredients; Sugar, Milk Solids, Cocoa Butter, Glucose Syrup (Sources include Wheat), Cocoa Mass, Barley Malt Extract, Vegetable Fat, Emulsifiers (Soy Lecithin, 492), Wheat Gluten, Raising Agents (501, 500), Salt, Natural Flavour (Vanilla Extract), Pectin.

Nutritional_Value; Protein: 2.6 g, Total Fat: 9.2 g, Saturated Fat: 5.7 g, Trans Fat: <0.1 g, Total Carbohydrates: 27.2 g, Sugars: 22.4 g, Sodium: 45 mg / per 40 g serve

Energy; 203cal (851kJ) / per 40 g serve

Date_Inserted; 01/10/17 

Distributed_Country; Australia

Family_Company; Mars, Incorporated

Source; Website: http://www.marschocolate.com.au/products/maltesers/maltesers-40g/
