Product_Name; Pepsi 855 mL

Product_Type; Food, Drinks & Beverages

Specific_Product_Type; Beverage, Soda

Ingredients; Carbonated Water, High Fructose Corn Syrup, Carmel Color, Sugar, Phosphoric Acid, Caffeine, Citric Acid, Natural Flavor

Nutritional_Value; Sodium: 8 mg / 100mL, Carbohydrates (of which sugars): 11.5g / 100 mL, protein 0 g / 100 mL

Energy; 42kcal (178kJ) / 100 mL

Date_Inserted; 1/10/2017

Distributed_Country; U.S.A

Family_Company; Pepsico

Source; Website: http://www.pepsicobeveragefacts.com/Home/Product?formula=35005*26*01-01&form=RTD&size=12
