Product_Name; Slim Jim (8g)

Product_Type;  Food, Drinks & Beverages

Specific_Product_Type; Beef Snack

Ingredients; beef, mechanically separated chicken, lactic acid starter culture, dextrose, salt, sodium nitrite and hydrolyzed soy

Nutritional_Value; Calories: 40, Total Fat: 13g, Cholesterol: 30mg, Sodium: 550mg, Carbohydrate: 5g, Sugars: 1g, Protein: 7g

Energy; 40cal / 8 g

Date_Inserted; 22/10/17

Distributed_Country; U.S.A.

Family_Company; ConAgra Brands

Source; Website: http://www.slimjim.com/
