Product_Name; TWIX Bar 55g

Product_Type; Food, Drinks & Beverages

Specific_Product_Type; Chocolate, Candy

Ingredients; Sugar, Glucose Syrup (Sources Include Wheat), Flour (Sources include Wheat), Milk Solids, Vegetable Fat, Cocoa Butter, Cocoa Mass, Cocoa Powder, Emulsifier (Soy Lecithin), Salt, Natural Flavour (Vanilla Extract).

Nutritional_Value; Protein: 1.2 g, Total Fat: 6.9 g, Saturated Fat: 4.0 g, Trans Fat: <0.1 g, Total Carbohydrates: 17.8 g, Sugars: 12.9 g, Sodium: 38 mg / per 27.5 g serve

Energy; 140cal (582kJ) / per 27.5 g serve

Date_Inserted; 03/10/17 

Distributed_Country; Australia

Family_Company; Mars, Incorporated

Source; Website: http://www.marschocolate.com.au/products/twix/twix-twin-pack/
