Product_Name; Sprite

Product_Type; Food, Drinks & Beverages

Specific_Product_Type; Softdrink

Ingredients; Carbonated Water, Sugar, Citric Acid, Malic Acid, Acidity Regulator (Sodium Gluconate), Natural Lemon-Lime Flavourings, Sweetener (Steviol Glycosides)

Nutritional_Value; Protein: 0 g, Total Fat: 0 g, Saturated Fat: ß g, Trans Fat: 0 g, Total Carbohydrates: 6.6 g, Sugars: 6.6 g

Energy; 46kcal / per 100ml serve

Date_Inserted; 01/10/17

Distributed_Country; worldwide

Family_Company; Coca-Cola

Source; Website: http://www.coca-cola.co.uk/drinks/sprite/sprite
